Family,Species,Species name 2015,Group
Pseudochromidae,Pseudochromis olivaceus,Pseudochromis olivaceus,Reef associated
Pseudochromidae,Pseudochromis pesi,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis spp.,Pseudochromidae,Reef associated
Pseudochromidae,Pseudochromis springeri,Pseudochromis springeri,Reef associated
Scaridae,Calotomus viridescens,Scaridae,Transient
Scaridae,Cetoscarus bicolor,Scaridae,Transient
Scaridae,Chlorurus gibbus,Scaridae,Transient
Scaridae,Chlorurus sordidus,Scaridae,Transient
Scaridae,Hipposcarus harid,Scaridae,Transient
Scaridae,Scaridae spp.,Scaridae,Transient
Scaridae,Scarus collana,Scaridae,Transient
Scaridae,Scarus ferrugineus,Scaridae,Transient
Scaridae,Scarus frenatus,Scaridae,Transient
Scaridae,Scarus fuscopurpureus,Scaridae,Transient
Scaridae,Scarus ghobban,Scaridae,Transient
Scaridae,Scarus niger,Scaridae,Transient
Scaridae,Scarus psittacus,Scaridae,Transient
Scaridae,Scarus spp.,Scaridae,Reef associated
Scorpaenidae,Pterois miles,Pterois miles,Transient
Scorpaenidae,Pterois radiata,Pterois radiata,Reef associated
Scorpaenidae,Scorpaenodes parvipinnis,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis barbata,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis diabolus,Scorpaenidae,Reef associated
Scorpaenidae,Scorpaenopsis spp.,Scorpaenidae,Reef associated
Scorpaenidae,Sebastapistes cyanostigma,Scorpaenidae,Reef associated
Serranidae,Aethaloperca rogaa,Serranidae,Transient
Serranidae,Cephalopholis argus,Serranidae,Transient
Serranidae,Cephalopholis hemistiktos,Serranidae,Transient
Serranidae,Cephalopholis miniata,Serranidae,Transient
Serranidae,Epinephelus fasciatus,Epinephelus fasciatus,Transient
Serranidae,Epinephelus malabaricus,Serranidae,Transient
Serranidae,Epinephelus tauvina,Serranidae,Transient
Serranidae,Grammistes sexlineatus,Grammistes sexlineatus,Transient
Serranidae,Pseudanthias spp.,Pseudanthias spp.,Transient
Serranidae,Pseudanthias squamipinnis,Pseudanthias spp.,Reef associated
Serranidae,Serranidae spp.,Serranidae,Transient
Serranidae,Variola louti,Variola louti,Transient
Siganidae,Siganus  spp.,Siganus  spp.,Transient
Siganidae,Siganus argenteus,Siganus  spp.,Transient
Siganidae,Siganus luridus,Siganus  spp.,Transient
Siganidae,Siganus rivulatus,Siganus  spp.,Transient
Siganidae,Siganus stellatus,Siganus  spp.,Transient
Soleidae,Pardachirus marmoratus,Soleidae,Reef associated
Sparidae,Acanthopagrus bifasciatus,Sparidae,Transient
Sparidae,Diplodus noct,Sparidae,Transient
Sphyraenidae,Sphyraena barracuda,Sphyraena barracuda,Transient
Sphyraenidae,Sphyraena flavicauda,Sphyraena flavicauda,Transient
Spratelloididae,Spratelloides gracilis,Spratelloididae,Transient
Synanceiidae,Inimicus filamentosus,Synanceiidae,Reef associated
Synanceiidae,Synanceia verrucosa,Synanceia verrucosa,Reef associated
Syngnathidae,Corythoichthys flavofasciatus,Syngnathidae,Reef associated
Syngnathidae,Corythoichthys nigripectus,Syngnathidae,Reef associated
Syngnathidae,Corythoichthys schultzi,Syngnathidae,Reef associated
Syngnathidae,Dunckerocampus multiannulatus,Syngnathidae,Reef associated
Syngnathidae,Syngnathidae spp.,Syngnathidae,Reef associated
Synodontidae,Saurida gracilis,Synodontidae,Reef associated
Synodontidae,Synodontidae spp.,Synodontidae,Reef associated
Synodontidae,Synodus variegatus,Synodontidae,Reef associated
Tetraodontidae,Arothron diadematus,Arothron spp.,Transient
Tetraodontidae,Arothron hispidus,Arothron spp.,Transient
Tetraodontidae,Arothron spp.,Arothron spp.,Transient
Tetraodontidae,Canthigaster cyanospilota,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster margaritata,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster pygmaea,Canthigaster spp.,Transient
Tetraodontidae,Canthigaster spp.,Canthigaster spp.,Transient
Torpedinidae,Torpedo panthera,Torpedinidae,Reef associated
Tripterygiidae,Enneapterygius pusillus,Tripterygiidae,Reef associated
Tripterygiidae,Tripterygiidae sp.,Tripterygiidae,Reef associated
