First Observer,Knoll,Notes,Second Observer,Time End,Time Start,column_to_join_by,Observer,Species,Amount,Length,Confidence,meta_to_site_identifier,Date,Location,Start,End,Country,Project,Reserve,KnollID,Lat(N),Lon(E)
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudochromis springeri,1,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Pseudochromis springeri,1,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Trimma barralli,1,2,1,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Eviota sebreei,1,2,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Epinephelus fasciatus,1,22,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Gymnothorax griseus,1,20,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,first,Amphiprion bicinctus,1,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Zebrasoma desjardinii,2,28,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Cheilinus lunulatus,1,45,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Sufflamen albicaudatus,1,16,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Sufflamen albicaudatus,1,18,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Sufflamen albicaudatus,1,20,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Zebrasoma xanthurum,1,22,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Zebrasoma xanthurum,1,20,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Chaetodon paucifasciatus,1,12,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Acanthurus nigrofuscus,1,14,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Acanthurus nigrofuscus,1,16,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Ctenochaetus striatus,1,25,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudochromis fridmani,1,5,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Chromis dimidiata,1,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Chromis dimidiata,1,5,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudanthias squamipinnis,2,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
